CDREDE;DE;CODMUN;MUN;CATEG;COD_ESC;TIPOESC;CODVINC;NOMESC;ENDESC;BAIESC;EMAIL;FONE1;ZONA;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO;EJA FUNDAMENTAL_AI;EJA ENSINO MÉDIO;EJA FUNDAMENTAL_AF;EJA FUNDAMENTAL_MULTI
10101;NORTE 1;100;SAO PAULO;1;37643;8;NULL;ANTONIO CARLOS FERREIRA NOBRE PROFESSOR;AGOSTINHO DOS SANTOS;PARQUE SAO DOMINGOS;E037643A@EDUCACAO.SP.GOV.BR;38319345;1;0;0;0;0;386;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;37679;8;NULL;EDGARD PIMENTEL REZENDE PROFESSOR;JERONIMO SOUTO MAIOR;VILA NINA;E037679A@EDUCACAO.SP.GOV.BR;39216074;1;0;0;0;0;422;483;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;37692;8;NULL;ANA SIQUEIRA DA SILVA;MAURO DE ARAUJO RIBEIRO;CIDADE DABRIL;E037692A@EDUCACAO.SP.GOV.BR;39412997;1;0;0;0;0;289;211;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;41683;8;NULL;OTTO DE BARROS VIDAL PROFESSOR;JOAQUIM JOSE DE LIMA;JARAGUA;E041683A@EDUCACAO.SP.GOV.BR;39015288;1;0;0;0;696;0;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;48598;8;NULL;PAULO TRAJANO DA SILVEIRA SANTOS PROFESSOR;PRAIA DO TUMIARU;VILA MARINA;E048598A@EDUCACAO.SP.GOV.BR;39752901;1;0;7;0;443;0;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;72503;8;NULL;ELIZABETH APARECIDA SIMOES MESQUITA PROFESSORA;JOSE DA NATIVIDADE SALDANHA;VILA PENTEADO;E072503A@EDUCACAO.SP.GOV.BR;39218613;1;0;0;0;0;342;134;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;130321;8;NULL;THAYANE LUZIMARA COSTA VALCACER PROFESSORA;FRIEDRICH VON VOITH;JARDIM SAO JOAO JARAGUA;E130321A@EDUCACAO.SP.GOV.BR;39434428;1;0;0;0;292;294;341;0;178;0;0
10101;NORTE 1;100;SAO PAULO;1;269359;8;NULL;MARIA HELENA GONCALVES DE ARRUDA PROFESSORA;CANTIDIO SAMPAIO DEPUTADO;VILA SOUZA;E269359A@EDUCACAO.SP.GOV.BR;39724746;1;0;0;0;0;361;835;0;1;0;0
10101;NORTE 1;100;SAO PAULO;1;923618;8;NULL;EULICE SILVIO MENDONCA DA SILVA PROFESSORA;CANTIDIO SAMPAIO DEPUTADO;VILA SOUZA;E923618A@EDUCACAO.SP.GOV.BR;39718508;1;0;0;0;952;0;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;924398;8;NULL;JARDIM CANAA;ESTRADA CORONEL JOSE GLADIADOR;JARDIM CANAA;E924398A@EDUCACAO.SP.GOV.BR;39112625;1;0;0;0;297;0;298;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;924726;8;NULL;REGIANE DO CARMO MONTEIRO PROFESSORA;TARCON;JARDIM ADELFIORE;E924726A@EDUCACAO.SP.GOV.BR;39152453;1;0;0;0;530;0;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;449;8;NULL;TAUNAY VISCONDE DE;AVENIDA CELESTINO BOURROUL;LIMAO;E000449A@EDUCACAO.SP.GOV.BR;39650826;1;0;0;0;471;0;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;462;8;NULL;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;RUA PADRE JOAO GUALBERTO;IMIRIM;E000462A@EDUCACAO.SP.GOV.BR;22392001;1;0;0;0;0;270;140;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;590;8;NULL;PAULO SETUBAL;AVENIDA DEPUTADO EMILIO CARLOS;LIMAO;E000590A@EDUCACAO.SP.GOV.BR;38572855;1;0;35;0;581;0;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;681;8;NULL;TOLEDO BARBOSA;RUA MARIA CANDIDA;VILA GUILHERME;E000681A@EDUCACAO.SP.GOV.BR;29093684;1;0;11;0;420;315;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;848;8;NULL;JOAQUIM LEME DO PRADO PROFESSOR;AVENIDA IMIRIM;IMIRIM;E000848A@EDUCACAO.SP.GOV.BR;22391332;1;0;0;0;0;491;642;0;228;0;0
10102;CENTRO;100;SAO PAULO;1;899;8;NULL;PEDRO COSTA DEPUTADO;NILO LUIS MAZZEI;VILA ISOLINA MAZZEI;E000899A@EDUCACAO.SP.GOV.BR;29765072;1;0;0;0;297;0;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;929;8;NULL;ANTONIO VIEIRA PADRE;AVENIDA CRUZEIRO DO SUL;CANINDE;E000929A@EDUCACAO.SP.GOV.BR;29506476;1;0;0;0;0;0;599;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;1478;8;NULL;EDUARDO PRADO;RUA ALMIRANTE BARROSO;BRAS;E001478A@EDUCACAO.SP.GOV.BR;26942045;1;0;0;0;532;593;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;1521;8;NULL;PAULO LUIG FREI;CARLOS DE CAMPOS;PARI;E001521A@EDUCACAO.SP.GOV.BR;20964884;1;0;0;0;483;378;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;1659;8;NULL;ANCHIETA PADRE;RUA VISCONDE DE ABAETE;BRAS;E001659A@EDUCACAO.SP.GOV.BR;26932120;1;0;0;0;0;594;593;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;3475;8;NULL;JOSE CANDIDO DE SOUZA;RUA DIANA;PERDIZES;E003475A@EDUCACAO.SP.GOV.BR;36720489;1;0;0;0;0;276;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;3487;8;NULL;ARTHUR GUIMARAES;RUA JAGUARIBE;VILA BUARQUE;E003487A@EDUCACAO.SP.GOV.BR;33315338;1;0;0;0;530;0;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;3852;8;NULL;CAETANO DE CAMPOS CONSOLACAO;RUA JOAO GUIMARAES ROSA;CONSOLACAO;E003852A@EDUCACAO.SP.GOV.BR;32595206;1;0;0;0;0;268;238;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;918994;8;NULL;PAULO MACHADO DE CARVALHO;RUA AGUIAR DE BARROS;BELA VISTA;E918994A@EDUCACAO.SP.GOV.BR;32414006;1;0;0;0;328;0;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;2;483485;9;1659;CENTRO DE ATEND SOCIO EDUC AO ADOLESC RUTH PISTORI CIP;ESTADO;BOM RETIRO;NULL;32715319;1;0;0;0;0;0;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;2;559684;34;1659;CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE RIO PARANA CI;R CORONEL MURSA;BRAS;NULL;32715319;1;0;0;0;0;40;35;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;371;8;NULL;ANTONIO JOSE LEITE PROF;DEZ DE MAIO;VILA AMELIA;E000371A@EDUCACAO.SP.GOV.BR;22583977;1;0;0;0;0;270;1096;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;425;8;NULL;REPUBLICA DO CHILE;MARACAIA;VILA NOVA CACHOEIRINHA;E000425A@EDUCACAO.SP.GOV.BR;38514854;1;0;0;0;734;0;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;607;8;NULL;TITO PRATES DA FONSECA;MENDONCA JUNIOR;VILA DOS ANDRADES;E000607A@EDUCACAO.SP.GOV.BR;38516330;1;0;0;0;0;520;730;0;295;0;0
10104;NORTE 2;100;SAO PAULO;1;863;8;NULL;JOSE MARCELINO DA FONSECA MAJOR;RUA SOLDADO BENTINHO;PARQUE MANDAQUI;E000863A@EDUCACAO.SP.GOV.BR;22041722;1;0;8;0;370;0;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;875;8;NULL;CASTRO ALVES;FRANCISCO BRUNO;VILA MARIZA MAZZEI;E000875A@EDUCACAO.SP.GOV.BR;22368460;1;0;15;0;0;334;437;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1004;8;NULL;EURICO FIGUEIREDO PROF;FONSECA FILHO MINISTRO;JACANA;E001004A@EDUCACAO.SP.GOV.BR;22425743;1;0;17;0;0;335;186;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1119;8;NULL;EURIPEDES DE CASTRO;EDGAR RUZZANT;JARDIM BRASIL ZONA NORTE;E001119A@EDUCACAO.SP.GOV.BR;22018054;1;0;8;0;608;0;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1132;8;NULL;PEDRO ALEXANDRINO;IMBIRAS;VILA NOVA MAZZEI;E001132A@EDUCACAO.SP.GOV.BR;22043335;1;0;5;0;0;452;515;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1144;8;NULL;JULIO PESTANA;GUAPIRA;TUCURUVI;E001144A@EDUCACAO.SP.GOV.BR;22413200;1;0;0;0;0;512;787;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1156;8;NULL;SILVA JARDIM;TUCURUVI;TUCURUVI;E001156A@EDUCACAO.SP.GOV.BR;29816359;1;0;0;0;0;535;685;0;467;0;0
10104;NORTE 2;100;SAO PAULO;1;1173;8;NULL;ALBINO CESAR;CAJAMAR;VILA MAZZEI;E001173A@EDUCACAO.SP.GOV.BR;22036695;1;0;23;0;0;452;1313;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1181;8;NULL;RAFAEL DE MORAES LIMA PROF;LAVINIA PACHECO E SILVA;JARDIM LEONOR MENDES DE BARROS;E001181A@EDUCACAO.SP.GOV.BR;22043300;1;0;33;0;735;0;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1193;8;NULL;PHILOMENA BAYLAO PROFA;CORONEL SEZEFREDO FAGUNDES;NUCLEO DO ENGORDADOR;E001193A@EDUCACAO.SP.GOV.BR;29952488;1;0;13;0;442;362;275;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1272;8;NULL;ANGELO BORTOLO;ANTONIO GONCALVES SILVA;BORTOLANDIA;E001272A@EDUCACAO.SP.GOV.BR;22040300;1;0;6;0;0;341;156;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1296;8;NULL;CARMOSINA MONTEIRO VIANNA PROFA;ANTONIO PALMIERI;JARDIM BRASIL ZONA NORTE;E001296A@EDUCACAO.SP.GOV.BR;22013411;1;0;0;0;0;470;522;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;37795;8;NULL;JUSTINO CARDOSO DR;JOAO SOUTO MAIOR;VILA MEDEIROS;E037795A@EDUCACAO.SP.GOV.BR;22012188;1;0;14;0;0;517;540;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;48616;8;NULL;JOAO BAPTISTA ALVES SILVA PROF;MANUEL VIEIRA DA LUZ;SITIO DO PIQUERI;E048616A@EDUCACAO.SP.GOV.BR;22431428;1;0;33;0;0;517;306;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;579476;8;NULL;SOCRATES BRASILEIRO SAMPAIO DE SOUZA VIEIRA DE OLIVEIRA;RUA ANTONIO SIMPLICIO;PARQUE RAMOS FREITAS;E579476A@EDUCACAO.SP.GOV.BR;22030955;1;0;5;0;212;0;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;906153;8;NULL;TEREZINE ARANTES FERRAZ BIBLIOTECARIA;USHIKICHI KAMIYA;PARQUE CASA DE PEDRA;E906153A@EDUCACAO.SP.GOV.BR;29921451;1;0;25;0;1300;0;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;906803;8;NULL;LEONIDAS PAIVA PROF;MARTIRES ARMENIOS;BARRO BRANCO ZONA NORTE;E906803A@EDUCACAO.SP.GOV.BR;22033298;1;0;2;0;0;261;61;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;915658;8;NULL;MARLY DIVA BONFANTI PROFA;PEDRO OSORIO FILHO;VILA NOVA CACHOEIRINHA;E915658A@EDUCACAO.SP.GOV.BR;22582683;1;0;12;0;333;395;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;2;458314;6;37783;CEL JTO A EE VERIDIANA CAMACHO CARVALHO GOMES PROFA;CARLOS DOS SANTOS;JARDIM BRASIL ZONA NORTE;E037783A@EDUCACAO.SP.GOV.BR;22426177;1;0;0;0;0;0;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;673;8;NULL;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR;ARARITAGUABA;VILA MARIA;E000673A@EDUCACAO.SP.GOV.BR;26310204;1;0;0;0;0;647;620;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;747;8;NULL;MARIA MONTESSORI;CONCEICAO;VILA PAIVA;E000747A@EDUCACAO.SP.GOV.BR;29094973;1;0;0;0;0;316;439;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;838;8;NULL;JOAO VIEIRA DE ALMEIDA;GUILHERME COTCHING;VILA MARIA;E000838A@EDUCACAO.SP.GOV.BR;26311732;1;0;0;0;0;482;743;0;300;0;0
10205;LESTE 5;100;SAO PAULO;1;851;8;NULL;JULIO MAIA;SOBRAL JUNIOR;VILA MARIA ALTA;E000851A@EDUCACAO.SP.GOV.BR;26317110;1;0;15;0;544;0;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1375;8;NULL;LOUREIRO JUNIOR PROFESSOR;RUA PADRE ADELINO;QUARTA PARADA;E001375A@EDUCACAO.SP.GOV.BR;26057174;1;0;20;0;0;101;64;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1430;8;NULL;ANDRE OHL;SAPOPEMBA;VILA REGENTE FEIJO;E001430A@EDUCACAO.SP.GOV.BR;22113266;1;0;0;0;474;0;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1442;8;NULL;ANDRE XAVIER GALLICHO PROFESSOR;MOOCA;MOOCA;E001442A@EDUCACAO.SP.GOV.BR;26010184;1;0;10;0;216;182;262;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1485;8;NULL;GUERINO RASO;SERRA DA BOCAINA;QUARTA PARADA;E001485A@EDUCACAO.SP.GOV.BR;22928232;1;0;8;0;307;0;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1491;8;NULL;ANNA TEIXEIRA PRADO ZACHARIAS PROFESSORA;PAULINA;CHACARA MAFALDA;E001491A@EDUCACAO.SP.GOV.BR;22136265;1;0;14;0;0;361;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1740;8;NULL;STEFAN ZWEIG;GENARO ARILA ARENSANZ;VILA IVONE;E001740A@EDUCACAO.SP.GOV.BR;21544166;1;0;0;0;0;276;124;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1776;8;NULL;SECUNDINO DOMINGUES FILHO DOUTOR;SECUNDINO DOMINGUES;JARDIM INDEPENDENCIA;E001776A@EDUCACAO.SP.GOV.BR;22118049;1;0;0;0;254;261;180;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1867;8;NULL;LUIZA MENDES CORREA SOUZA PROFESSORA;AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO;PARQUE SAO LUCAS;E001867A@EDUCACAO.SP.GOV.BR;21155205;1;0;0;0;283;293;379;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;2100;8;NULL;ERASMO BRAGA;MARIA EUGENIA;TATUAPE;E002100A@EDUCACAO.SP.GOV.BR;20935166;1;0;0;0;527;0;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;2227;8;NULL;BENEDITA RIBAS F SILVEIRA PROFESSORA;JOSE TAVARES DE SIQUEIRA;PARQUE SAO JORGE;E002227A@EDUCACAO.SP.GOV.BR;22962558;1;0;0;0;0;417;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;2264;8;NULL;OSWALDO CATALANO;FILIPE CAMARAO;TATUAPE;E002264A@EDUCACAO.SP.GOV.BR;20922636;1;0;0;0;0;0;1688;0;238;0;0
10205;LESTE 5;100;SAO PAULO;1;2318;8;NULL;SANTOS AMARO DA CRUZ PROFESSOR;BARREIRA GRANDE;JARDIM COLORADO;E002318A@EDUCACAO.SP.GOV.BR;22113598;1;0;0;0;0;757;958;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;37333;8;NULL;DUQUE DE CAXIAS;RUA CORONEL JOAO DE OLIVEIRA MELO;VILA ANTONIETA;E037333A@EDUCACAO.SP.GOV.BR;27214977;1;0;0;0;369;0;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;2;414281;34;759;CENTRO DE ATEND SOCIOEDUC AO ADOLESC NOVA VIDA CI;MORVAN DIAS DE FIGUEIREDO;VILA MARIA;CINTIATRDS@SP.GOV.BR;32041556;1;0;0;0;0;20;28;0;0;0;0
10205;LESTE 5;100;SAO PAULO;2;414360;34;759;CENTRO DE ATEND SOCIOEDUC AO ADOLESC BELA VISTA CI;AVENIDA CONDESSA ELISABETH ROBIANO;BELEM;CINTIATRDS@SP.GOV.BR;32041102;1;0;0;0;0;19;19;0;0;0;0
10205;LESTE 5;100;SAO PAULO;2;414396;34;759;CENTRO DE ATEND SOCIOEDUC AO ADOLESC VILA GUILHERME CI;AVENIDA CONDESSA ELISABETH ROBIANO;BELEM;PEDAGCASAVGUILHERME@FUNDACAOCASA.SP.GOV.BR;32041113;1;0;0;0;2;23;11;0;0;0;0
10205;LESTE 5;100;SAO PAULO;2;428863;34;759;CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE OURO PRETO CI;MORVAN DIAS DE FIGUEIREDO;VILA MARIA;CINTIATRDS@SP.GOV.BR;32043213;1;0;0;0;3;25;20;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2513;8;NULL;NOSSA SENHORA DA PENHA;RUA PADRE BENEDITO DE CAMARGO;PENHA DE FRANCA;E002513A@EDUCACAO.SP.GOV.BR;26470941;1;0;0;0;0;0;1586;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2525;8;NULL;ANTAO PADRE;RUA SANTO AFONSO;PENHA;E002525A@EDUCACAO.SP.GOV.BR;20913272;1;0;0;0;0;395;321;0;135;0;0
10207;LESTE 1;100;SAO PAULO;1;2537;8;NULL;ADALGISA MOREIRA PIRES PROFESSORA;MARCIANO CAPELLA;VILA RE;E002537A@EDUCACAO.SP.GOV.BR;26843034;1;0;0;0;516;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2574;8;NULL;CUSTODIO JOSE DE MELLO ALMIRANTE;ALICANTE;VILA GRANADA;E002574A@EDUCACAO.SP.GOV.BR;26848207;1;0;0;0;0;716;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2586;8;NULL;BARAO DE RAMALHO;AMADOR BUENO DA VEIGA;PENHA DE FRANCA;E002586A@EDUCACAO.SP.GOV.BR;26470700;1;0;0;0;0;542;677;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2719;8;NULL;CAETANO MIELE PROFESSOR;FRANCISCO DAMANTE;VILA LONDRINA;E002719A@EDUCACAO.SP.GOV.BR;26411691;1;0;0;0;0;314;634;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2744;8;NULL;FILOMENA MATARAZZO CONDESSA;PARANAGUA;ERMELINO MATARAZZO;E002744A@EDUCACAO.SP.GOV.BR;25464188;1;0;0;0;0;0;430;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2793;8;NULL;REPUBLICA DO URUGUAI;ANTONIO ROBERTO DE ALMEIDA;ENGENHEIRO GOULART;E002793A@EDUCACAO.SP.GOV.BR;26216075;1;0;6;0;0;538;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2811;8;NULL;SILVA PRADO DEPUTADO;LUIS ANTONIO RANTIN MOUTINHO ENGENHEIRO;JARDIM POPULAR;E002811A@EDUCACAO.SP.GOV.BR;20432155;1;0;0;0;0;554;339;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2987;8;NULL;GABRIEL PELICIOTTI PROFESSOR;TITO CAPINAM;JARDIM SAO CARLOS ZONA LESTE;E002987A@EDUCACAO.SP.GOV.BR;20461977;1;0;7;0;616;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;3116;8;NULL;APPARECIDA RAHAL PROFESSORA;FONTOURA XAVIER;ITAQUERA;E003116A@EDUCACAO.SP.GOV.BR;22860013;1;0;0;0;0;574;512;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;3219;8;NULL;MARIA DA CONCEICAO OLIVEIRA COSTA PROFESSORA;LAGOA TAI GRANDE;ITAQUERA;E003219A@EDUCACAO.SP.GOV.BR;25243063;1;0;16;0;672;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;3220;8;NULL;MILTON CRUZEIRO PROFESSOR;ALAMANDAS;CIDADE ANTONIO ESTEVAO DE CARVALHO;E003220A@EDUCACAO.SP.GOV.BR;20414488;1;0;0;0;0;821;1347;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;36778;8;NULL;LUIGI PIRANDELLO;LARANJA DA CHINA;JARDIM DAS CAMELIAS;E036778A@EDUCACAO.SP.GOV.BR;20533644;1;0;0;0;754;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;36808;8;NULL;ANTONIO DE OLIVEIRA CAMARGO PROFESSOR;RUA CARLO GRAZIA ENGENHEIRO;VILA UNIAO ZONA LESTE;E036808A@EDUCACAO.SP.GOV.BR;20435515;1;0;0;0;248;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;40320;8;NULL;CASSIO CIAMPOLINI DEPUTADO;GUAPEBA;VILA VERDE;E040320A@EDUCACAO.SP.GOV.BR;20532606;1;0;0;0;790;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;40964;8;NULL;LEONOR RENDESI PROFESSORA;BOAVENTURA RODRIGUES DA SILVA;PARQUE BOTURUSSU;E040964A@EDUCACAO.SP.GOV.BR;25415941;1;0;0;0;333;340;288;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;46280;8;NULL;MARIA APARECIDA MACHADO JULIANELLI;PEDRO MARCIANO DE ALCANTARA;ENGENHEIRO GOULART;E046280A@EDUCACAO.SP.GOV.BR;26214258;1;0;12;0;860;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;902248;8;NULL;ANNA PONTES TOLEDO NATALI PROFESSORA;PACO DO LUMIAR;VILA SILVIA;E902248A@EDUCACAO.SP.GOV.BR;29436884;1;0;0;0;560;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;906955;8;NULL;EDSON LUIZ RIBEIRO LUZIA PROFESSOR;VITOR JOSE DE CASTRO;JARDIM NORMA;E906955A@EDUCACAO.SP.GOV.BR;20515820;1;0;8;0;649;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;910855;8;NULL;JOSE BORGES DOS SANTOS JUNIOR REV;DANIEL ARCIONI;LIMOEIRO;E910855A@EDUCACAO.SP.GOV.BR;22800021;1;0;0;0;555;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;916493;8;NULL;JULIO DE CARVALHO BARATA;RUA ELY REY;JARDIM SAO CARLOS ZONA LESTE;E916493A@EDUCACAO.SP.GOV.BR;20427773;1;0;0;0;0;282;349;0;64;0;0
10207;LESTE 1;100;SAO PAULO;2;985065;6;2835;CEL JTO A EE ERMELINO MATARAZZO;ABEL TAVARES;JARDIM BELEM;E985065A@EDUCACAO.SP.GOV.BR;25465969;1;0;0;0;0;0;0;0;0;0;0
10208;LESTE 4;100;SAO PAULO;1;2471;8;NULL;ZALINA ROLIM DONA;LUIS CARLOS DOUTOR;VILA ARICANDUVA;E002471A@EDUCACAO.SP.GOV.BR;20972312;1;0;0;0;0;103;429;0;0;0;0
10208;LESTE 4;100;SAO PAULO;1;2598;8;NULL;ASTOLFO ARAUJO DEPUTADO;ITAQUERA;JARDIM MARINGA;E002598A@EDUCACAO.SP.GOV.BR;27421923;1;0;0;0;0;288;138;0;0;0;0
10208;LESTE 4;100;SAO PAULO;1;2636;8;NULL;INFANTE DOM HENRIQUE;TEODORO MASCARENHAS;VILA MATILDE;E002636A@EDUCACAO.SP.GOV.BR;26530626;1;0;0;0;0;186;691;0;0;0;0
10208;LESTE 4;100;SAO PAULO;1;2641;8;NULL;JOSE PEREIRA DE QUEIROZ DR;PARANHOS;VILA NOVA SAVOIA;E002641A@EDUCACAO.SP.GOV.BR;26515800;1;0;0;0;0;0;644;0;0;0;0
