,Banco,Pontos
165,GigaSpaces,1.17
166,Meilisearch,1.16
167,HEAVY.AI,1.14
168,Valkey,1.14
169,Mnesia,1.13
170,TimesTen,1.13
171,mSQL,1.11
172,ObjectBox,1.09
173,StarRocks,1.08
174,Datameer,1.08
175,Giraph,1.06
176,LiteDB,1.05
177,Apache Kylin,1.01
178,SurrealDB,1.01
179,PlanetScale,1.0
180,SQLBase,1.0
181,EventStoreDB,1.0
182,TDSQL for MySQL,1.0
183,Amazon Keyspaces,0.99
184,Alibaba Cloud MaxCompute,0.96
185,Cubrid,0.95
186,openGauss,0.94
187,Firebolt,0.94
188,NonStop SQL,0.92
189,Oracle Rdb,0.92
190,Vitess,0.92
191,Apache HAWQ,0.91
192,IDMS,0.91
193,MatrixOne,0.91
194,GT.M,0.9
195,eXtremeDB,0.88
196,FoundationDB,0.87
197,HPE Ezmeral Data Fabric,0.87
198,DataEase,0.85
199,M3DB,0.85
200,NCache,0.84
201,Rockset,0.84
202,Vespa,0.83
203,Alibaba Cloud AnalyticDB for MySQL,0.83
204,Altibase,0.82
205,ZODB,0.81
206,Typesense,0.81
207,Infobright,0.78
208,NuoDB,0.77
209,Yellowbrick,0.76
210,Xapian,0.75
211,Alibaba Cloud AnalyticDB for PostgreSQL,0.74
212,BigchainDB,0.73
213,Model 204,0.72
214,RisingWave,0.72
215,GeoMesa,0.72
216,AllegroGraph,0.71
217,Blazegraph,0.71
218,SciDB,0.71
219,eXist-db,0.69
220,RDF4J,0.69
221,Actian Vector,0.68
222,KeyDB,0.67
223,Datacom/DB,0.66
224,Sedna,0.64
225,SQream DB,0.64
226,CrateDB,0.64
227,Dolt,0.62
228,ObjectDB,0.61
229,Objectivity/DB,0.61
230,FrontBase,0.6
231,solidDB,0.59
232,R:BASE,0.58
233,TypeDB,0.58
234,BoltDB,0.58
235,YDB,0.57
236,1010data,0.56
237,Harper,0.55
238,DBISAM,0.55
239,KairosDB,0.55
240,SQL.JS,0.54
241,Splice Machine,0.54
242,Graph Engine,0.52
243,Apache Doris,0.51
244,Dragonfly,0.51
245,atoti,0.48
246,WebSphere eXtreme Scale,0.47
247,Kinetica,0.47
248,MapDB,0.47
249,Percona Server for MongoDB,0.47
250,NexusDB,0.46
251,Apache Pinot,0.46
252,ITTIA,0.44
253,GemStone/S,0.44
254,Alibaba Cloud Log Service,0.44
255,Fluree,0.43
256,VistaDB,0.42
257,Scalaris,0.42
258,Apache Sedona,0.41
259,Kingbase,0.41
260,ScaleArc,0.39
261,OpenInsight,0.39
262,Deep Lake,0.38
263,Rasdaman,0.38
264,Marqo,0.36
265,AlaSQL,0.35
266,Hibari,0.35
267,Postgres-XL,0.35
268,LokiJS,0.35
269,Tajo,0.34
270,SearchBlox,0.33
271,Comdb2,0.33
272,Sequoiadb,0.33
273,Perst,0.33
274,Northgate Reality,0.32
275,ModeShape,0.31
276,Strabon,0.3
277,Vald,0.3
278,Kyligence Enterprise,0.3
279,Elassandra,0.29
280,Cloudflare Workers KV,0.29
281,Starcounter,0.28
282,Project Voldemort,0.27
283,Actian PSQL,0.27
284,CnosDB,0.27
285,RaptorDB,0.27
286,4store,0.27
287,Raima Database Manager,0.27
288,MyScale,0.26
289,InfiniteGraph,0.26
290,Manticore Search,0.26
291,Immudb,0.25
292,OpenQM,0.25
293,Brytlyt,0.25
294,Databend,0.25
295,RDFox,0.23
296,Fujitsu Enterprise Postgres,0.23
297,LeanXcale,0.23
298,Alibaba Cloud TSDB,0.23
299,FeatureBase,0.22
300,Redland,0.22
301,RedStore,0.22
302,Actian FastObjects,0.21
303,Mimer SQL,0.21
304,YTsaurus,0.21
305,FalkorDB,0.2
306,XTDB,0.2
307,Valentina Server,0.19
308,Badger,0.19
309,PipelineDB,0.19
310,Axibase,0.18
311,IBM Db2 Event Store,0.18
312,YottaDB,0.18
313,AnzoGraph DB,0.18
314,Alibaba Cloud Table Store,0.18
315,TransLattice,0.18
316,Apache HugeGraph,0.17
317,Tibco ComputeDB,0.17
318,Faircom DB,0.17
319,Riak TS,0.16
320,NEventStore,0.16
321,chDB,0.15
322,XtremeData,0.15
323,Ultipa,0.15
324,EsgynDB,0.15
325,HyperGraphDB,0.14
326,FlockDB,0.14
327,PieCloudDB,0.14
328,BigObject,0.14
329,ElevateDB,0.14
330,AgensGraph,0.14
331,Mulgara,0.14
332,Quasardb,0.13
333,Warp 10,0.13
334,GreptimeDB,0.13
335,TerminusDB,0.13
336,Speedb,0.12
337,Lovefield,0.11
338,EJDB,0.11
339,GraphBase,0.11
340,Sparksee,0.09
341,Kyoto Tycoon,0.09
342,Jade,0.08
343,Machbase Neo,0.08
344,SiteWhere,0.07
345,Bangdb,0.07
346,Tokyo Tyrant,0.07
347,Exorbyte,0.06
348,ScaleOut StateServer,0.06
349,CubicWeb,0.06
350,ArcadeDB,0.06
351,Tigris,0.06
352,Blueflood,0.06
353,Elliptics,0.06
354,SenseiDB,0.05
355,TinkerGraph,0.05
356,ReductStore,0.05
357,NosDB,0.04
358,AntDB,0.03
359,WakandaDB,0.03
360,JethroData,0.03
361,STSdb,0.03
362,OpenMLDB,0.03
363,Heroic,0.02
364,Faircom EDGE,0.02
365,Dydra,0.02
366,SmallSQL,0.02
367,Kuzu,0.02
368,SparkleDB,0.02
369,Acebase,0.01
370,Resin Cache,0.01
371,Hawkular Metrics,0.01
372,gStore,0.01
373,SWC-DB,0.01
374,Eloquera,0.01
375,JaguarDB,0.01
376,Skytable,0.0
377,OushuDB,0.0
378,Siaqodb,0.0
379,LedisDB,0.0
380,SwayDB,0.0
381,ActorDB,0.0
382,BergDB,0.0
383,BrightstarDB,0.0
384,Cachelot.io,0.0
385,CortexDB,0.0
386,CovenantSQL,0.0
387,DaggerDB,0.0
388,DataFS,0.0
389,Edge Intelligence,0.0
390,EdgelessDB,0.0
391,Galaxybase,0.0
392,H2GIS,0.0
393,Helium,0.0
394,HGraphDB,0.0
395,HyperLevelDB,0.0
396,iBoxDB,0.0
397,Indica,0.0
398,InfinityDB,0.0
399,JasDB,0.0
400,K-DB,0.0
401,Linter,0.0
402,Newts,0.0
403,NSDb,0.0
404,openGemini,0.0
405,OpenTenBase,0.0
406,OrigoDB,0.0
407,Rizhiyi,0.0
408,Sadas Engine,0.0
409,searchxml,0.0
410,SiriDB,0.0
411,SpaceTime,0.0
412,SvectorDB,0.0
413,TerarkDB,0.0
414,Tkrzw,0.0
415,TomP2P,0.0
416,Transbase,0.0
417,Transwarp ArgoDB,0.0
418,Transwarp Hippo,0.0
419,Transwarp KunDB,0.0
420,Transwarp StellarDB,0.0
421,Upscaledb,0.0
422,VelocityDB,0.0
423,WhiteDB,0.0
